experiment,feature_set,model,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn,fold
majority_class,t0_only,majority_class,0.639344262295082,0.5,0.5,0.36065573770491804,0.0,0.0,0.0,1.0,0,0,39,22,1
majority_class,t0_only,majority_class,0.6333333333333333,0.5,0.5,0.36666666666666664,0.0,0.0,0.0,1.0,0,0,38,22,2
majority_class,t0_only,majority_class,0.6333333333333333,0.5,0.5,0.36666666666666664,0.0,0.0,0.0,1.0,0,0,38,22,3
majority_class,t0_only,majority_class,0.6333333333333333,0.5,0.5,0.36666666666666664,0.0,0.0,0.0,1.0,0,0,38,22,4
majority_class,t0_only,majority_class,0.6333333333333333,0.5,0.5,0.36666666666666664,0.0,0.0,0.0,1.0,0,0,38,22,5
majority_class,t0_only,majority_class,0.639344262295082,0.5,0.5,0.36065573770491804,0.0,0.0,0.0,1.0,0,0,39,22,6
majority_class,t0_only,majority_class,0.6333333333333333,0.5,0.5,0.36666666666666664,0.0,0.0,0.0,1.0,0,0,38,22,7
majority_class,t0_only,majority_class,0.6333333333333333,0.5,0.5,0.36666666666666664,0.0,0.0,0.0,1.0,0,0,38,22,8
majority_class,t0_only,majority_class,0.6333333333333333,0.5,0.5,0.36666666666666664,0.0,0.0,0.0,1.0,0,0,38,22,9
majority_class,t0_only,majority_class,0.6333333333333333,0.5,0.5,0.36666666666666664,0.0,0.0,0.0,1.0,0,0,38,22,10
majority_class,t0_only,majority_class,0.639344262295082,0.5,0.5,0.36065573770491804,0.0,0.0,0.0,1.0,0,0,39,22,11
majority_class,t0_only,majority_class,0.6333333333333333,0.5,0.5,0.36666666666666664,0.0,0.0,0.0,1.0,0,0,38,22,12
majority_class,t0_only,majority_class,0.6333333333333333,0.5,0.5,0.36666666666666664,0.0,0.0,0.0,1.0,0,0,38,22,13
majority_class,t0_only,majority_class,0.6333333333333333,0.5,0.5,0.36666666666666664,0.0,0.0,0.0,1.0,0,0,38,22,14
majority_class,t0_only,majority_class,0.6333333333333333,0.5,0.5,0.36666666666666664,0.0,0.0,0.0,1.0,0,0,38,22,15
logreg_l2_t0_only,t0_only,logreg_l2,0.8360655737704918,0.842074592074592,0.8904428904428905,0.8914790252480826,0.7916666666666666,0.7307692307692307,0.8636363636363636,0.8205128205128205,19,7,32,3,1
logreg_l2_t0_only,t0_only,logreg_l2,0.8333333333333334,0.8301435406698565,0.895933014354067,0.9029706762069583,0.782608695652174,0.75,0.8181818181818182,0.8421052631578947,18,6,32,4,2
logreg_l2_t0_only,t0_only,logreg_l2,0.8166666666666667,0.8169856459330144,0.8899521531100477,0.8631832292168455,0.7659574468085106,0.72,0.8181818181818182,0.8157894736842105,18,7,31,4,3
