experiment,feature_set,model,fold,accuracy,balanced_accuracy,roc_auc,pr_auc,f1,precision,recall_sensitivity,specificity,tp,fp,tn,fn
majority_class,t0_only,majority_class,1,0.7894736842105263,0.5,0.5,0.21052631578947367,0.0,0.0,0.0,1.0,0,0,30,8
majority_class,t0_only,majority_class,2,0.7894736842105263,0.5,0.5,0.21052631578947367,0.0,0.0,0.0,1.0,0,0,30,8
majority_class,t0_only,majority_class,3,0.7631578947368421,0.5,0.5,0.23684210526315788,0.0,0.0,0.0,1.0,0,0,29,9
majority_class,t0_only,majority_class,4,0.7631578947368421,0.5,0.5,0.23684210526315788,0.0,0.0,0.0,1.0,0,0,29,9
majority_class,t0_only,majority_class,5,0.7631578947368421,0.5,0.5,0.23684210526315788,0.0,0.0,0.0,1.0,0,0,29,9
majority_class,t0_only,majority_class,6,0.7894736842105263,0.5,0.5,0.21052631578947367,0.0,0.0,0.0,1.0,0,0,30,8
majority_class,t0_only,majority_class,7,0.7894736842105263,0.5,0.5,0.21052631578947367,0.0,0.0,0.0,1.0,0,0,30,8
majority_class,t0_only,majority_class,8,0.7631578947368421,0.5,0.5,0.23684210526315788,0.0,0.0,0.0,1.0,0,0,29,9
majority_class,t0_only,majority_class,9,0.7631578947368421,0.5,0.5,0.23684210526315788,0.0,0.0,0.0,1.0,0,0,29,9
majority_class,t0_only,majority_class,10,0.7631578947368421,0.5,0.5,0.23684210526315788,0.0,0.0,0.0,1.0,0,0,29,9
majority_class,t0_only,majority_class,11,0.7894736842105263,0.5,0.5,0.21052631578947367,0.0,0.0,0.0,1.0,0,0,30,8
majority_class,t0_only,majority_class,12,0.7894736842105263,0.5,0.5,0.21052631578947367,0.0,0.0,0.0,1.0,0,0,30,8
majority_class,t0_only,majority_class,13,0.7631578947368421,0.5,0.5,0.23684210526315788,0.0,0.0,0.0,1.0,0,0,29,9
majority_class,t0_only,majority_class,14,0.7631578947368421,0.5,0.5,0.23684210526315788,0.0,0.0,0.0,1.0,0,0,29,9
majority_class,t0_only,majority_class,15,0.7631578947368421,0.5,0.5,0.23684210526315788,0.0,0.0,0.0,1.0,0,0,29,9
logreg_l2_t0_only,t0_only,logreg_l2,1,0.8947368421052632,0.8875,0.9500000000000001,0.8821428571428571,0.7777777777777778,0.7,0.875,0.9,7,3,27,1
logreg_l2_t0_only,t0_only,logreg_l2,2,0.868421052631579,0.8708333333333333,0.9583333333333334,0.8720619658119658,0.7368421052631579,0.6363636363636364,0.875,0.8666666666666667,7,4,26,1
logreg_l2_t0_only,t0_only,logreg_l2,3,0.8157894736842105,0.7260536398467433,0.8659003831417624,0.7903750145129456,0.5882352941176471,0.625,0.5555555555555556,0.896551724137931,5,3,26,4
logreg_l2_t0_only,t0_only,logreg_l2,4,0.9210526315789473,0.8716475095785441,0.896551724137931,0.8888888888888891,0.8235294117647058,0.875,0.7777777777777778,0.9655172413793104,7,1,28,2
logreg_l2_t0_only,t0_only,logreg_l2,5,0.9473684210526315,0.9655172413793103,0.996168582375479,0.9888888888888892,0.9,0.8181818181818182,1.0,0.9310344827586207,9,2,27,0
logreg_l2_t0_only,t0_only,logreg_l2,6,0.868421052631579,0.9166666666666667,1.0,1.0,0.7619047619047619,0.6153846153846154,1.0,0.8333333333333334,8,5,25,0
logreg_l2_t0_only,t0_only,logreg_l2,7,0.868421052631579,0.9166666666666667,0.9708333333333333,0.8994408369408369,0.7619047619047619,0.6153846153846154,1.0,0.8333333333333334,8,5,25,0
logreg_l2_t0_only,t0_only,logreg_l2,8,0.7894736842105263,0.7471264367816092,0.842911877394636,0.6875679875679876,0.6,0.5454545454545454,0.6666666666666666,0.8275862068965517,6,5,24,3
logreg_l2_t0_only,t0_only,logreg_l2,9,0.9473684210526315,0.9272030651340997,0.9540229885057472,0.902336860670194,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9655172413793104,8,1,28,1
logreg_l2_t0_only,t0_only,logreg_l2,10,0.8421052631578947,0.8582375478927202,0.9272030651340996,0.9051282051282052,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.8275862068965517,8,5,24,1
logreg_l2_t0_only,t0_only,logreg_l2,11,0.8947368421052632,0.9333333333333333,0.9666666666666667,0.8227678571428573,0.8,0.6666666666666666,1.0,0.8666666666666667,8,4,26,0
logreg_l2_t0_only,t0_only,logreg_l2,12,0.8947368421052632,0.9333333333333333,0.9916666666666667,0.975,0.8,0.6666666666666666,1.0,0.8666666666666667,8,4,26,0
logreg_l2_t0_only,t0_only,logreg_l2,13,0.8947368421052632,0.8160919540229885,0.9118773946360152,0.8750000000000002,0.75,0.8571428571428571,0.6666666666666666,0.9655172413793104,6,1,28,3
logreg_l2_t0_only,t0_only,logreg_l2,14,0.8157894736842105,0.7260536398467433,0.7931034482758621,0.7484126984126984,0.5882352941176471,0.625,0.5555555555555556,0.896551724137931,5,3,26,4
logreg_l2_t0_only,t0_only,logreg_l2,15,0.9210526315789473,0.9099616858237547,0.9578544061302682,0.8856261022927692,0.8421052631578947,0.8,0.8888888888888888,0.9310344827586207,8,2,27,1
logreg_l2_t1_only,t1_only,logreg_l2,1,0.868421052631579,0.8708333333333333,0.9833333333333334,0.9583333333333333,0.7368421052631579,0.6363636363636364,0.875,0.8666666666666667,7,4,26,1
logreg_l2_t1_only,t1_only,logreg_l2,2,0.7631578947368421,0.85,0.9916666666666667,0.9704861111111112,0.64,0.47058823529411764,1.0,0.7,8,9,21,0
logreg_l2_t1_only,t1_only,logreg_l2,3,0.8157894736842105,0.8026819923371648,0.946360153256705,0.8898809523809526,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.8275862068965517,7,5,24,2
logreg_l2_t1_only,t1_only,logreg_l2,4,0.9210526315789473,0.8716475095785441,0.8812260536398466,0.892982456140351,0.8235294117647058,0.875,0.7777777777777778,0.9655172413793104,7,1,28,2
logreg_l2_t1_only,t1_only,logreg_l2,5,0.8157894736842105,0.8026819923371648,0.9003831417624522,0.8250427350427352,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.8275862068965517,7,5,24,2
logreg_l2_t1_only,t1_only,logreg_l2,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,30,0
logreg_l2_t1_only,t1_only,logreg_l2,7,0.9473684210526315,0.9666666666666667,1.0,1.0,0.8888888888888888,0.8,1.0,0.9333333333333333,8,2,28,0
logreg_l2_t1_only,t1_only,logreg_l2,8,0.7894736842105263,0.7471264367816092,0.8237547892720306,0.7538290169869117,0.6,0.5454545454545454,0.6666666666666666,0.8275862068965517,6,5,24,3
logreg_l2_t1_only,t1_only,logreg_l2,9,0.9473684210526315,0.9655172413793103,0.9885057471264368,0.9674523007856344,0.9,0.8181818181818182,1.0,0.9310344827586207,9,2,27,0
logreg_l2_t1_only,t1_only,logreg_l2,10,0.8157894736842105,0.8026819923371648,0.9080459770114943,0.8105820105820105,0.6666666666666666,0.5833333333333334,0.7777777777777778,0.8275862068965517,7,5,24,2
logreg_l2_t1_only,t1_only,logreg_l2,11,0.8157894736842105,0.7916666666666667,0.8916666666666666,0.7419172932330826,0.631578947368421,0.5454545454545454,0.75,0.8333333333333334,6,5,25,2
logreg_l2_t1_only,t1_only,logreg_l2,12,0.8157894736842105,0.8375,0.9583333333333334,0.9305555555555556,0.6666666666666666,0.5384615384615384,0.875,0.8,7,6,24,1
logreg_l2_t1_only,t1_only,logreg_l2,13,0.868421052631579,0.8754789272030651,0.8582375478927203,0.805983255983256,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.8620689655172413,8,4,25,1
logreg_l2_t1_only,t1_only,logreg_l2,14,0.9210526315789473,0.9099616858237547,0.9923371647509578,0.9797979797979799,0.8421052631578947,0.8,0.8888888888888888,0.9310344827586207,8,2,27,1
logreg_l2_t1_only,t1_only,logreg_l2,15,0.9473684210526315,0.9655172413793103,0.996168582375479,0.9888888888888892,0.9,0.8181818181818182,1.0,0.9310344827586207,9,2,27,0
